Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,new_year,Reporting.Status.simple,Taxon_std,Order_std,Reporting_raw_std,Reporting_simple_std,Historical_date_std,First_observed_std,Observer_std,Collector_std,new_year_std,status_std,historical_year,observed_year,contribution_year,Order_label
Lithomoia germana,,,American brindle moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Xylenini,Lithomoia,germana,,,NA,,,,new 2021,observed,NA,NA,,,,2021-09-03,Kevin Toomer,iNat:93516127,,223974,ART,2021,new,Lithomoia germana,Lepidoptera,new 2021,new,NA,2021-09-03,Kevin Toomer,NA,2021,new,NA,2021,2021,Butterflies & moths (Lepidoptera)
Lithophane georgii,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Xylenini,Lithophane,georgii,,,NA,,,,new 2023,observed,NA,NA,,,,2023-04-02,Kevin Toomer,iNat:153193804,,223983,ART,2023,new,Lithophane georgii,Lepidoptera,new 2023,new,NA,2023-04-02,Kevin Toomer,NA,2023,new,NA,2023,2023,Butterflies & moths (Lepidoptera)
Lithophane petulca,,,wanton pinion moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Xylenini,Lithophane,petulca,,,NA,,,,new 2021,observed,NA,NA,,,,2021-04-16,Kevin Toomer,iNat:74198924,,223996,ART,2021,new,Lithophane petulca,Lepidoptera,new 2021,new,NA,2021-04-16,Kevin Toomer,NA,2021,new,NA,2021,2021,Butterflies & moths (Lepidoptera)
Mesapamea secalis,,,common rustic,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Apameini,Mesapamea,secalis,,,NA,,,,new 2020,observed,NA,NA,,,,2020-08-10,Kevin Toomer,iNat:56059818,,354806,ART,2020,new,Mesapamea secalis,Lepidoptera,new 2020,new,NA,2020-08-10,Kevin Toomer,NA,2020,new,NA,2020,2020,Butterflies & moths (Lepidoptera)
Noctua comes,,,lesser yellow underwing,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Noctuini,Noctua,comes,,,NA,,,,new 2016,observed,NA,NA,,,,2016-09-25,Sarah Tweedale,iNat:4200197,,205187,ART,2016,new,Noctua comes,Lepidoptera,new 2016,new,NA,2016-09-25,Sarah Tweedale,NA,2016,new,NA,2016,2016,Butterflies & moths (Lepidoptera)
Noctua pronuba,"Linnaeus, 1758",,large yellow underwing,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Noctuini,Noctua,pronuba,,,NA,exotic,unlisted,,new 2016,observed,NA,NA,,,,2016-03-03,Andrew Simon,iNat:2763247,,81687,ART,2016,new,Noctua pronuba,Lepidoptera,new 2016,new,NA,2016-03-03,Andrew Simon,NA,2016,new,NA,2016,2016,Butterflies & moths (Lepidoptera)
Oligia divesta,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,,Oligia,divesta,,,NA,,,,new 2023,observed,NA,NA,,,,2023-08-07,Galiano observer,iNat:255042446,,226336,ART,2023,new,Oligia divesta,Lepidoptera,new 2023,new,NA,2023-08-07,Galiano observer,NA,2023,new,NA,2023,2023,Butterflies & moths (Lepidoptera)
Orthosia hibisci,"Guenée, 1852",,speckled green fruitworm moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Orthosiini,Orthosia,hibisci,,,NA,native,,,new 2018,observed,NA,NA,,,,2018-05-19,Andrew Simon,iNat:12631550,,226646,ART,2018,new,Orthosia hibisci,Lepidoptera,new 2018,new,NA,2018-05-19,Andrew Simon,NA,2018,new,NA,2018,2018,Butterflies & moths (Lepidoptera)
Orthosia mys,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Orthosiini,Orthosia,mys,,,NA,,,,new 2023,observed,NA,NA,,,,2023-10-09,Kevin Toomer,iNat:186845618,,347247,ART,2023,new,Orthosia mys,Lepidoptera,new 2023,new,NA,2023-10-09,Kevin Toomer,NA,2023,new,NA,2023,2023,Butterflies & moths (Lepidoptera)
Orthosia pacifica,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Orthosiini,Orthosia,pacifica,,,NA,,,,new 2020,observed,NA,NA,,,,2020-04-10,Kevin Toomer,iNat:41851026,,226647,ART,2020,new,Orthosia pacifica,Lepidoptera,new 2020,new,NA,2020-04-10,Kevin Toomer,NA,2020,new,NA,2020,2020,Butterflies & moths (Lepidoptera)
Orthosia praeses,"Grote, 1879",,dart moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Orthosiini,Orthosia,praeses,,,NA,native,S3S5 (2017),,new 2018,observed,NA,NA,,,,2018-03-23,Kevin Toomer,iNat:10392814,,347248,ART,2018,new,Orthosia praeses,Lepidoptera,new 2018,new,NA,2018-03-23,Kevin Toomer,NA,2018,new,NA,2018,2018,Butterflies & moths (Lepidoptera)
Orthosia transparens,"Grote, 1882",,dart moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Orthosiini,Orthosia,transparens,,,NA,native,S3S5 (2017),,new 2016,observed,NA,NA,,,,2016-03-22,Andrew Simon,iNat:2822928,,226651,ART,2016,new,Orthosia transparens,Lepidoptera,new 2016,new,NA,2016-03-22,Andrew Simon,NA,2016,new,NA,2016,2016,Butterflies & moths (Lepidoptera)
Panthea virginarius,"Grote, 1880",,Cascades panthea moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Pantheinae,,Panthea,virginarius,,,NA,native,S4S5 (2017),,confirmed,observed,1995-07-19,Jon Shepard & Sigrid Shepard,RBCM,ENT996-006874,,2016-05-06,Andrew Simon,iNat:3114025,,226911,ART,NA,confirmed,Panthea virginarius,Lepidoptera,confirmed,confirmed,1995-07-19,2016-05-06,Andrew Simon,Jon Shepard & Sigrid Shepard,NA,confirmed,1995,2016,2016,Butterflies & moths (Lepidoptera)
Peridroma saucia,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Noctuini,Peridroma,saucia,,,NA,,,,new 2023,observed,2023-05-27,Libby and Rick Avis,Bioblitz 2023,,,2023-05-27,Libby and Rick Avis,iNat:164747057,,179339,ART,2023,new,Peridroma saucia,Lepidoptera,new 2023,new,2023-05-27,2023-05-27,Libby and Rick Avis,Libby and Rick Avis,2023,new,2023,2023,2023,Butterflies & moths (Lepidoptera)
Phlogophora periculosa,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Phlogophorini,Phlogophora,periculosa,,,NA,,,,new 2023,observed,NA,NA,,,,2023-08-10,Kevin Toomer,iNat:177710418,,124183,ART,2023,new,Phlogophora periculosa,Lepidoptera,new 2023,new,NA,2023-08-10,Kevin Toomer,NA,2023,new,NA,2023,2023,Butterflies & moths (Lepidoptera)
Pleromelloida conserta,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Oncocnemidinae,,Pleromelloida,conserta,,,NA,,,,new 2023,observed,NA,NA,,,,2023-04-11,Kevin Toomer,iNat:154441463,,228375,ART,2023,new,Pleromelloida conserta,Lepidoptera,new 2023,new,NA,2023-04-11,Kevin Toomer,NA,2023,new,NA,2023,2023,Butterflies & moths (Lepidoptera)
Properigea albimacula,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,,Properigea,albimacula,,,NA,,,,new 2024,observed,NA,NA,,,,2024-06-13,Chris Ratzlaff,iNat:226625279,,347232,ART,2024,new,Properigea albimacula,Lepidoptera,new 2024,new,NA,2024-06-13,Chris Ratzlaff,NA,2024,new,NA,2024,2024,Butterflies & moths (Lepidoptera)
Protodeltote albidula,"Guenée, 1852",,pale glyph moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Eustrotiinae,,Protodeltote,albidula,,,NA,native,S4S5 (2017),,new 2016,observed,NA,NA,,,,2016-06-19,Andrew Simon,iNat:3493825,,228854,ART,2016,new,Protodeltote albidula,Lepidoptera,new 2016,new,NA,2016-06-19,Andrew Simon,NA,2016,new,NA,2016,2016,Butterflies & moths (Lepidoptera)
Sunira decipiens,"Grote, 1881",,shield-backed cutworm moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Xylenini,Sunira,decipiens,,,NA,native,,,new 2018,observed,NA,NA,,,,2018-10-20,Kevin Toomer,iNat:17746568,,176068,ART,2018,new,Sunira decipiens,Lepidoptera,new 2018,new,NA,2018-10-20,Kevin Toomer,NA,2018,new,NA,2018,2018,Butterflies & moths (Lepidoptera)
Syngrapha celsa,"Edwards, 1881",,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Plusiinae,Plusiini,Syngrapha,celsa,,,NA,native,,,new 2018,observed,NA,NA,,,,2018-08-06,Kevin Toomer,iNat:30333180,,424121,ART,2018,new,Syngrapha celsa,Lepidoptera,new 2018,new,NA,2018-08-06,Kevin Toomer,NA,2018,new,NA,2018,2018,Butterflies & moths (Lepidoptera)
Syngrapha octoscripta,"Grote, 1874",,dusky silver Y moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Plusiinae,Plusiini,Syngrapha,octoscripta,,,NA,native,,,new 2018,observed,NA,NA,,,,2018-08-22,Kevin Toomer,iNat:16138684,,232152,ART,2018,new,Syngrapha octoscripta,Lepidoptera,new 2018,new,NA,2018-08-22,Kevin Toomer,NA,2018,new,NA,2018,2018,Butterflies & moths (Lepidoptera)
Syngrapha rectangula,"Kirby, 1837",,salt-and-pepper looper moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Plusiinae,Plusiini,Syngrapha,rectangula,,,NA,native,,,new 2018,observed,NA,NA,,,,2018-08-08,Kevin Toomer,iNat:16139272,,232156,ART,2018,new,Syngrapha rectangula,Lepidoptera,new 2018,new,NA,2018-08-08,Kevin Toomer,NA,2018,new,NA,2018,2018,Butterflies & moths (Lepidoptera)
Syngrapha viridisigma,,,spruce false looper moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Plusiinae,Plusiini,Syngrapha,viridisigma,,,NA,,,,new 2021,observed,NA,NA,,,,2021-08-14,Kevin Toomer,iNat:91170089,,232160,ART,2021,new,Syngrapha viridisigma,Lepidoptera,new 2021,new,NA,2021-08-14,Kevin Toomer,NA,2021,new,NA,2021,2021,Butterflies & moths (Lepidoptera)
Trichordestra liquida,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Hadenini,Trichordestra,liquida,,,NA,,,,new 2023,observed,NA,NA,,,,2023-06-05,Kevin Toomer,iNat:165721764,,232917,ART,2023,new,Trichordestra liquida,Lepidoptera,new 2023,new,NA,2023-06-05,Kevin Toomer,NA,2023,new,NA,2023,2023,Butterflies & moths (Lepidoptera)
Xestia xanthographa,"Denis & Schiffermüller, 1775",,square-spot rustic,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Noctuini,Xestia,xanthographa,,,NA,exotic,unlisted,,new 2017,observed,NA,NA,,,,2017-08-27,Sarah Tweedale,iNat:7693440,,48162,ART,2017,new,Xestia xanthographa,Lepidoptera,new 2017,new,NA,2017-08-27,Sarah Tweedale,NA,2017,new,NA,2017,2017,Butterflies & moths (Lepidoptera)
Xylomoia indirecta,"(Grote, 1875)",,oblique brocade,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,,Xylomoia,indirecta,,,NA,,,,new 2024,observed,NA,NA,,,,2024-08-11,Kevin Toomer,iNat:235121013,,452619,ART,2024,new,Xylomoia indirecta,Lepidoptera,new 2024,new,NA,2024-08-11,Kevin Toomer,NA,2024,new,NA,2024,2024,Butterflies & moths (Lepidoptera)
Nola minna,"Butler, 1881",,ceanothus nola moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Nolidae,Nolinae,Nolini,Nola,minna,,,NA,native,S4S5 (2017),,new 2018,observed,NA,NA,,,,2018-04-07,Kevin Toomer,iNat:10789131,,225988,ART,2018,new,Nola minna,Lepidoptera,new 2018,new,NA,2018-04-07,Kevin Toomer,NA,2018,new,NA,2018,2018,Butterflies & moths (Lepidoptera)
Nycteola cinereana,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Nolidae,Chloephorinae,Sarrothripini,Nycteola,cinereana,,,NA,,,,new 2020,observed,NA,NA,,,,2020-05-10,Kevin Toomer,iNat:45914423,,226045,ART,2020,new,Nycteola cinereana,Lepidoptera,new 2020,new,NA,2020-05-10,Kevin Toomer,NA,2020,new,NA,2020,2020,Butterflies & moths (Lepidoptera)
Clostera apicalis,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Notodontidae,Pygaerinae,,Clostera,apicalis,,,NA,,,,new 2023,observed,NA,NA,,,,2023-06-13,Kevin Toomer,iNat:167219051,,59199,ART,2023,new,Clostera apicalis,Lepidoptera,new 2023,new,NA,2023-06-13,Kevin Toomer,NA,2023,new,NA,2023,2023,Butterflies & moths (Lepidoptera)
Coelodasys unicornis,,,unicorn caterpillar moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Notodontidae,Heterocampinae,Heterocampini,Coelodasys,unicornis,,,NA,,,,new 2018,observed,NA,NA,,,,2018-10-26,Kath Boake Wüthrich,iNat:20845913,,1373714,ART,2018,new,Coelodasys unicornis,Lepidoptera,new 2018,new,NA,2018-10-26,Kath Boake Wüthrich,NA,2018,new,NA,2018,2018,Butterflies & moths (Lepidoptera)
Furcula scolopendrina,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Notodontidae,Cerurinae,,Furcula,scolopendrina,,,NA,,,,new 2025,observed,NA,NA,,,,2025-06-09,Carolyn Jungsuh Rhee,iNat:291395302,,220233,ART,2025,new,Furcula scolopendrina,Lepidoptera,new 2025,new,NA,2025-06-09,Carolyn Jungsuh Rhee,NA,2025,new,NA,2025,2025,Butterflies & moths (Lepidoptera)
Gluphisia severa,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Notodontidae,Notodontinae,,Gluphisia,severa,,,NA,,,,new 2023,observed,NA,NA,,,,2023-04-26,Kevin Toomer,iNat:156757135,,220435,ART,2023,new,Gluphisia severa,Lepidoptera,new 2023,new,NA,2023-04-26,Kevin Toomer,NA,2023,new,NA,2023,2023,Butterflies & moths (Lepidoptera)
Ianassa pallida,,,pale prominent,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Notodontidae,Heterocampinae,Heterocampini,Ianassa,pallida,,,NA,,,,new 2021,observed,NA,NA,,,,2021-07-30,Kevin Toomer,iNat:89214559,,1375904,ART,2021,new,Ianassa pallida,Lepidoptera,new 2021,new,NA,2021-07-30,Kevin Toomer,NA,2021,new,NA,2021,2021,Butterflies & moths (Lepidoptera)
Nadata gibbosa,"J.E. Smith, 1797",,white-dotted prominent,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Notodontidae,Phalerinae,,Nadata,gibbosa,,,NA,native,S4S5 (2017),,new 2017,observed,NA,NA,,,,2017-08-13,Tyson Ehlers,iNat:8898372,,82204,ART,2017,new,Nadata gibbosa,Lepidoptera,new 2017,new,NA,2017-08-13,Tyson Ehlers,NA,2017,new,NA,2017,2017,Butterflies & moths (Lepidoptera)
Oedemasia semirufescens,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Notodontidae,Heterocampinae,Heterocampini,Oedemasia,semirufescens,,,NA,,,,new 2023,observed,NA,NA,,,,2023-07-15,Kevin Toomer,iNat:173096354,,1373719,ART,2023,new,Oedemasia semirufescens,Lepidoptera,new 2023,new,NA,2023-07-15,Kevin Toomer,NA,2023,new,NA,2023,2023,Butterflies & moths (Lepidoptera)
Schizura ipomaeae,"Doubleday, 1841",,morning-glory prominent,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Notodontidae,Heterocampinae,Heterocampini,Schizura,ipomaeae,,,NA,native,unlisted,,new 2018,observed,NA,NA,,,,2018-07-24,Kevin Toomer,iNat:14689513,,204014,ART,2018,new,Schizura ipomaeae,Lepidoptera,new 2018,new,NA,2018-07-24,Kevin Toomer,NA,2018,new,NA,2018,2018,Butterflies & moths (Lepidoptera)
Aglais milberti,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalini,Aglais,milberti,,,NA,,,,new 2023,observed,NA,NA,,,,2023-05-26,Chris Ratzlaff,iNat:186894394,,68269,ART,2023,new,Aglais milberti,Lepidoptera,new 2023,new,NA,2023-05-26,Chris Ratzlaff,NA,2023,new,NA,2023,2023,Butterflies & moths (Lepidoptera)
Limenitis lorquini,"Boisduval, 1852",,Lorquin's admiral,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Limenitidinae,Limenitidini,Limenitis,lorquini,,,NA,native,S5 (2013),,new 2016,observed,NA,NA,,,,2016-10-07,Lauren Magner,iNat:4296011,,50880,ART,2016,new,Limenitis lorquini,Lepidoptera,new 2016,new,NA,2016-10-07,Lauren Magner,NA,2016,new,NA,2016,2016,Butterflies & moths (Lepidoptera)
Nymphalis antiopa,,,mourning cloak,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalini,Nymphalis,antiopa,,,NA,,,,new 2019,observed,NA,NA,,,,2019-02-01,Kath Boake Wüthrich,iNat:20022524,,56832,ART,2019,new,Nymphalis antiopa,Lepidoptera,new 2019,new,NA,2019-02-01,Kath Boake Wüthrich,NA,2019,new,NA,2019,2019,Butterflies & moths (Lepidoptera)
Nymphalis californica,,,California tortoiseshell,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalini,Nymphalis,californica,,,NA,,,,new 2019,observed,NA,NA,,,,2019-08-29,Kath Boake Wüthrich,iNat:32124527,,49920,ART,2019,new,Nymphalis californica,Lepidoptera,new 2019,new,NA,2019-08-29,Kath Boake Wüthrich,NA,2019,new,NA,2019,2019,Butterflies & moths (Lepidoptera)
Phyciodes mylitta,"W.H. Edwards, 1861",,mylitta crescent,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,Melitaeini,Phyciodes,mylitta,,,NA,native,S5 (2013),,new 2016,observed,NA,NA,,,,2016-09-03,Kristian Sigvardsen,iNat:4027288,,59176,ART,2016,new,Phyciodes mylitta,Lepidoptera,new 2016,new,NA,2016-09-03,Kristian Sigvardsen,NA,2016,new,NA,2016,2016,Butterflies & moths (Lepidoptera)
Polygonia faunus,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,,Polygonia,faunus,,,NA,,,,new 2025,observed,NA,NA,,,,2025-05-06,Kath Quayle,iNat:279065521,,68262,ART,2025,new,Polygonia faunus,Lepidoptera,new 2025,new,NA,2025-05-06,Kath Quayle,NA,2025,new,NA,2025,2025,Butterflies & moths (Lepidoptera)
Polygonia satyrus,"W.H. Edwards, 1869",,satyr comma,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalini,Polygonia,satyrus,,,NA,native,S5 (2013),,new 2017,observed,2023-05-27,Libby and Rick Avis,Bioblitz 2023,,,2017-05-25,Andrew Simon,iNat:6412057,,56644,ART,2017,new,Polygonia satyrus,Lepidoptera,new 2017,new,2023-05-27,2017-05-25,Andrew Simon,Libby and Rick Avis,2017,new,2023,2017,2017,Butterflies & moths (Lepidoptera)
Vanessa cardui,"Linnaeus, 1758",,painted lady,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalini,Vanessa,cardui,,,NA,native,S5B (2013),,new 2015,observed,NA,NA,,,,2015-05-31,Andrew Simon,iNat:1809718,,48548,ART,2015,new,Vanessa cardui,Lepidoptera,new 2015,new,NA,2015-05-31,Andrew Simon,NA,2015,new,NA,2015,2015,Butterflies & moths (Lepidoptera)
Batia lunaris,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Gelechioidea,Oecophoridae,Oecophorinae,Oecophorini,Batia,lunaris,,,NA,,,,new 2023,observed,NA,NA,,,,2023-07-05,Kevin Toomer,iNat:171252541,,324110,ART,2023,new,Batia lunaris,Lepidoptera,new 2023,new,NA,2023-07-05,Kevin Toomer,NA,2023,new,NA,2023,2023,Butterflies & moths (Lepidoptera)
Endrosis sarcitrella,"Linnaeus, 1758",,white-shouldered house moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Gelechioidea,Oecophoridae,Oecophorinae,Oecophorini,Endrosis,sarcitrella,,,NA,exotic,unlisted,,new 2017,observed,NA,NA,,,,2017-05-12,Scott Gilmore,iNat:6203658,,205758,ART,2017,new,Endrosis sarcitrella,Lepidoptera,new 2017,new,NA,2017-05-12,Scott Gilmore,NA,2017,new,NA,2017,2017,Butterflies & moths (Lepidoptera)
Hofmannophila pseudospretella,"Stainton, 1849",,brown house moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Gelechioidea,Oecophoridae,Oecophorinae,Oecophorini,Hofmannophila,pseudospretella,,,NA,exotic,unlisted,,new 2016,observed,NA,NA,,,,2016-07-22,Andrew Simon,iNat:3726401,,129570,ART,2016,new,Hofmannophila pseudospretella,Lepidoptera,new 2016,new,NA,2016-07-22,Andrew Simon,NA,2016,new,NA,2016,2016,Butterflies & moths (Lepidoptera)
Papilio rutulus,"Lucas, 1852",,western tiger swallowtail,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Papilionidae,Papilioninae,Papilionini,Papilio,rutulus,,,NA,native,S5 (2013),,new 2016,observed,NA,NA,,,,2016-05-29,Ian Guthrie,iNat:32930002,,47226,ART,2016,new,Papilio rutulus,Lepidoptera,new 2016,new,NA,2016-05-29,Ian Guthrie,NA,2016,new,NA,2016,2016,Butterflies & moths (Lepidoptera)
Papilio zelicaon,,,anise swallowtail,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Papilionidae,Papilioninae,Papilionini,Papilio,zelicaon,,,NA,,,,new 2016,observed,NA,NA,,,,2016-06-17,Ian Guthrie,iNat:32930028,,51097,ART,2016,new,Papilio zelicaon,Lepidoptera,new 2016,new,NA,2016-06-17,Ian Guthrie,NA,2016,new,NA,2016,2016,Butterflies & moths (Lepidoptera)
Carcina quercana,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Gelechioidea,Peleopodidae,,,Carcina,quercana,,,NA,,,,new 2023,observed,NA,NA,,,,2023-07-23,Kevin Toomer,iNat:174510597,,205221,ART,2023,new,Carcina quercana,Lepidoptera,new 2023,new,NA,2023-07-23,Kevin Toomer,NA,2023,new,NA,2023,2023,Butterflies & moths (Lepidoptera)
Anthocharis julia flora,"(W. G. Wright, 1892)",,Sara's orangtip butterfly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Pieridae,Pierinae,Anthocharidini,Anthocharis,julia,,flora,NA,native,S4 (2013),,confirmed,observed,1981-04-17,Gerald Straley,RBCM,ENT989-006294,,2017-04-13,Kris Krüg,iNat:5677725,,900263,ART,NA,confirmed,Anthocharis julia flora,Lepidoptera,confirmed,confirmed,1981-04-17,2017-04-13,Kris Krüg,Gerald Straley,NA,confirmed,1981,2017,2017,Butterflies & moths (Lepidoptera)
Neophasia menapia,"C. & R. Felder, 1859",,pine white,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Pieridae,Pierinae,Pierini,Neophasia,menapia,,,NA,native,S5 (2013),,new 2018,observed,NA,NA,,,,2018-07-17,Sarah Tweedale,iNat:14499040,,81734,ART,2018,new,Neophasia menapia,Lepidoptera,new 2018,new,NA,2018-07-17,Sarah Tweedale,NA,2018,new,NA,2018,2018,Butterflies & moths (Lepidoptera)
Pieris rapae,"Linnaeus, 1758",,cabbage white,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Pieridae,Pierinae,Pierini,Pieris,rapae,,,NA,exotic,unlisted,,new 2017,observed,NA,NA,,,,2017-09-03,Sarah Tweedale,iNat:7763945,,55626,ART,2017,new,Pieris rapae,Lepidoptera,new 2017,new,NA,2017-09-03,Sarah Tweedale,NA,2017,new,NA,2017,2017,Butterflies & moths (Lepidoptera)
Eucalantica polita,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Yponomeutoidea,Plutellidae,,,Eucalantica,polita,,,NA,,,,new 2023,observed,NA,NA,,,,2023-05-06,Hannah Hickli,iNat:160359343,,348868,ART,2023,new,Eucalantica polita,Lepidoptera,new 2023,new,NA,2023-05-06,Hannah Hickli,NA,2023,new,NA,2023,2023,Butterflies & moths (Lepidoptera)
Plutella xylostella,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Yponomeutoidea,Plutellidae,,,Plutella,xylostella,,,NA,,,,new 2022,observed,NA,NA,,,,2022-09-11,Kevin Toomer,iNat:134624726,,126765,ART,2022,new,Plutella xylostella,Lepidoptera,new 2022,new,NA,2022-09-11,Kevin Toomer,NA,2022,new,NA,2022,2022,Butterflies & moths (Lepidoptera)
