Taxon,Referred iNaturalist Name,Referred iNaturalist Id,Indexed iNaturalist Name,ID,Corrected.ID,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial Status,National Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Cinna latifolia,Cinna latifolia,76340,Cinna latifolia,76340,76340,(Trevir.) Griseb.,,nodding wood-reed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Cinna,latifolia,,,,native,S5,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,76340,VAS,accepted,76340,Cinna latifolia,Cinna latifolia
Circaea alpina,Circaea alpina,76342,Circaea alpina,76342,76342,L.,,enchanter’s nightshade,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Myrtales,,,Onagraceae,,,Circaea,alpina,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-05-04,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2569342,,76342,VAS,accepted,76342,Circaea alpina,Circaea alpina
Circaea alpina ssp. pacifica,Circaea alpina pacifica,79729,Circaea alpina pacifica,79729,79729,L.,(Asch. & Magnus) P.H. Raven,Pacific enchanter's-nightshade,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Myrtales,,,Onagraceae,,,Circaea,alpina,,pacifica,,native,S5,,confirmed,observed,1980-04-12,Harvey Janszen,ER 128 Inventory,,,2015-06-04,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2561121,,79729,VAS,accepted,79729,Circaea alpina pacifica,Circaea alpina pacifica
Cirsium arvense,Cirsium arvense,60132,Cirsium arvense,60132,60132,(L.) Scop.,,Canada thistle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Carduoideae,,Cirsium,arvense,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-06-06,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2563918,Cirsium arvense var. horridum also reported; here taken as synonymous,60132,VAS,accepted,60132,Cirsium arvense,Cirsium arvense
Cirsium brevistylum,Cirsium brevistylum,52993,Cirsium brevistylum,52993,52993,Cronquist,,short-styled thistle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Carduoideae,,Cirsium,brevistylum,,,,native,S5,,confirmed,observed,1986-08-16,William J. Crins,UBC,V190908,,2017-05-28,Alexander J. Wright & Andrew Simon,https://www.inaturalist.org/observations/6409663,,52993,VAS,accepted,52993,Cirsium brevistylum,Cirsium brevistylum
Cirsium vulgare,Cirsium vulgare,52989,Cirsium vulgare,52989,52989,(Savi) Ten.,,bull thistle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Carduoideae,,Cirsium,vulgare,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-08-05,Andrew Simon,http://www.inaturalist.org/observations/2599922,,52989,VAS,accepted,52989,Cirsium vulgare,Cirsium vulgare
Clarkia amoena ssp. caurina,Clarkia amoena caurina,235283,Clarkia amoena caurina,235283,235283,(Lehm.) A.Nelson & J.F.Macbr.,(Abrams ex Piper) C.L. Hitchc.,farewell-to-spring,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Myrtales,,,Onagraceae,,,Clarkia,amoena,,caurina,,native,S3S4,,confirmed,observed,2004-07-12,Hans Roemer,RBCM,V192679,1949640990,2017-05-26,Andrew Simon,https://www.inaturalist.org/observations/6411597,,235283,VAS,accepted,235283,Clarkia amoena caurina,Clarkia amoena caurina
Clarkia amoena ssp. lindleyi,Clarkia amoena lindleyi,235285,Clarkia amoena lindleyi,235285,235285,(Lehm.) A.Nelson & J.F.Macbr.,(Douglas) C.L. Hitchc.,farewell-to-spring,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Myrtales,,,Onagraceae,,,Clarkia,amoena,,lindleyi,,native,S3S4,,new 2017,observed,,,,,,2017-05-29,Alexander J. Wright & Andrew Simon,https://www.inaturalist.org/observations/6434828,,235285,VAS,accepted,235285,Clarkia amoena lindleyi,Clarkia amoena lindleyi
Claytonia exigua ssp. exigua,Claytonia exigua exigua,57234,Claytonia exigua,57233,57234,Torr. & A. Gray,,pale springbeauty,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Montiaceae,,,Claytonia,exigua,,,,native,S4,,new 2016,observed,,,,,,2016-04-12,Marlin Stewart,http://www.inaturalist.org/observations/2954039,,57233,VAS,accepted,57234,Claytonia exigua exigua,Claytonia exigua
Claytonia exigua ssp. glauca,Claytonia exigua glauca,57229,Claytonia exigua glauca,57229,57229,Torr. & A. Gray,(Torr. & A. Gray) J.M.Mill. & K.L.Chambers,pallid claytonia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Montiaceae,,,Claytonia,exigua,,glauca,,native,S4,,new 2017,observed,,,,,,2013-03-22,Ryan Batten,https://www.inaturalist.org/observations/9142506,,57229,VAS,accepted,57229,Claytonia exigua glauca,Claytonia exigua glauca
Claytonia parviflora,Claytonia parviflora,58294,Claytonia parviflora,58294,58294,Douglas ex Hook.,,streambank springbeauty,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Montiaceae,,,Claytonia,parviflora,,,,native,S5,,confirmed,observed,,Kent Brothers,VMS Private List,,,2015-03-21,Lauren Magner & Andrew Simon,http://inaturalist.ca/observations/2605634,,58294,VAS,accepted,58294,Claytonia parviflora,Claytonia parviflora
Claytonia perfoliata,Claytonia perfoliata,52994,Claytonia perfoliata,52994,52994,Donn ex Willd.,,miner's-lettuce,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Montiaceae,,,Claytonia,perfoliata,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2013-04-08,Felix Erhard,http://www.inaturalist.org/observations/2583372,,52994,VAS,accepted,52994,Claytonia perfoliata,Claytonia perfoliata
Claytonia rubra ssp. depressa,Claytonia rubra depressa,79751,Claytonia rubra depressa,79751,79751,(Howell) Tidestr.,(A. Gray) John M. Mill. & K.L. Chambers.,redstem springbeauty,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Montiaceae,,,Claytonia,rubra,,depressa,,native,S5,,new 2017,observed,,,,,,2017-03-25,Andrew Simon,https://www.inaturalist.org/observations/5472855,,79751,VAS,accepted,79751,Claytonia rubra depressa,Claytonia rubra depressa
Claytonia rubra ssp. rubra,Claytonia rubra rubra,79752,Claytonia rubra rubra,79752,79752,(Howell) Tidestr.,,redstem springbeauty,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Montiaceae,,,Claytonia,rubra,,,,native,S5?,,reported,unobserved,1974-04-21,Wilfred B. Schofield,UBC,V156682,,,,,,79752,VAS,accepted,79752,Claytonia rubra rubra,Claytonia rubra rubra
Claytonia sibirica,Claytonia sibirica,55767,Claytonia sibirica,55767,55767,L.,,Siberian miner's-lettuce,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Montiaceae,,,Claytonia,sibirica,,,,native,S5,,confirmed,observed,1972-05-02,B. Schwartz,UBC,V139277,,2015-05-04,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2569360,,55767,VAS,accepted,55767,Claytonia sibirica,Claytonia sibirica
Clematis ligusticifolia,Clematis ligusticifolia,58996,Clematis ligusticifolia,58996,58996,Nutt.,,western white clematis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Ranunculanae,Ranunculales,,,Ranunculaceae,Ranunculoideae,Anemoneae,Clematis,ligusticifolia,,,,native,S5 (2019),,new 2020,observed,,,,,,2020-07-20,Sylvie Hawkes,https://www.inaturalist.org/observations/54692240,,58996,VAS,accepted,58996,Clematis ligusticifolia,Clematis ligusticifolia
Clematis vitalba,Clematis vitalba,160697,Clematis vitalba,160697,160697,L.,,traveler's joy,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Ranunculanae,Ranunculales,,,Ranunculaceae,Ranunculoideae,Anemoneae,Clematis,vitalba,,,,exotic,unlisted,,new 2019,observed,,,,,,2019-07-10,Adam Huggins,https://www.inaturalist.org/observations/28650048,,160697,VAS,accepted,160697,Clematis vitalba,Clematis vitalba
Clinopodium douglasii,Clinopodium douglasii,53203,Clinopodium douglasii,53203,53203,(Benth.) Kuntze,,yerba buena,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Lamiaceae,,,Clinopodium,douglasii,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-03-26,Andrew Simon,http://www.inaturalist.org/observations/2588219,Reported as Satureja douglasii,53203,VAS,accepted,53203,Clinopodium douglasii,Clinopodium douglasii
Collinsia grandiflora,Collinsia grandiflora,76409,Collinsia grandiflora,76409,76409,Douglas ex Lindl.,,large-flowered blue-eyed Mary,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Plantaginaceae,,,Collinsia,grandiflora,,,,native,S4,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2011-05-14,Emma Harrower,https://www.inaturalist.org/observations/78656632,,76409,VAS,accepted,76409,Collinsia grandiflora,Collinsia grandiflora
Collinsia parviflora,Collinsia parviflora,59013,Collinsia parviflora,59013,59013,Douglas ex Lindl.,,small-flowered blue-eyed Mary,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Plantaginaceae,,,Collinsia,parviflora,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2013-04-05,Felix Erhard,http://www.inaturalist.org/observations/2628114,,59013,VAS,accepted,59013,Collinsia parviflora,Collinsia parviflora
Collomia heterophylla,Collomia heterophylla,52996,Collomia heterophylla,52996,52996,Hook.,,vari-leaved collomia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Ericales,,,Polemoniaceae,,,Collomia,heterophylla,,,,native,S5,,confirmed,observed,1976-07-17,Harvey Janszen,RBCM,V107081,1949555895,2016-05-03,Andrew Simon,http://www.inaturalist.org/observations/3094626,,52996,VAS,accepted,52996,Collomia heterophylla,Collomia heterophylla
Comarum palustre,Comarum palustre,62213,Comarum palustre,62213,62213,L.,,marsh cinquefoil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,,,Comarum,palustre,,,,native,S5,,confirmed,observed,1975-07-24,Angela Wood,RBCM,V097752,,2016-05-24,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3296338,Reported as Potentilla palustris,62213,VAS,accepted,62213,Comarum palustre,Comarum palustre
Conioselinum gmelinii,Conioselinum gmelinii,160830,Conioselinum gmelinii,160830,160830,(Bray) Steud.,,Pacific hemlock-parsley,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Apiales,,,Apiaceae,,,Conioselinum,gmelinii,,,,native,S5,,new 2016,observed,,,,,,2016-07-10,Andrew Simon,http://www.inaturalist.org/observations/3652970,,160830,VAS,accepted,160830,Conioselinum gmelinii,Conioselinum gmelinii
Conium maculatum,Conium maculatum,52998,Conium maculatum,52998,52998,L.,,poison-hemlock,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Apiales,,,Apiaceae,Apioideae,,Conium,maculatum,,,,exotic,unlisted,,new 2019,observed,2022-06-09,Frank Lomer,UBC,12993,,2019-06-15,Ed Andrusiak,https://www.inaturalist.org/observations/27254709,,52998,VAS,accepted,52998,Conium maculatum,Conium maculatum
Consolida ajacis,Consolida ajacis,76430,Consolida ajacis,76430,76430,(L.) Schur,,rocket larkspur,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Ranunculanae,Ranunculales,,,Ranunculaceae,,,Consolida,ajacis,,,,exotic,unlisted,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,Reported as Consolida ambigua,76430,VAS,accepted,76430,Consolida ajacis,Consolida ajacis
Convolvulus arvensis,Convolvulus arvensis,53021,Convolvulus arvensis,53021,53021,L.,,field bindweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Solanales,,,Convolvulaceae,,,Convolvulus,arvensis,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-08-06,Sarah Tweedale,http://inaturalist.ca/observations/3816774,,53021,VAS,accepted,53021,Convolvulus arvensis,Convolvulus arvensis
Corallorhiza maculata var. occidentalis,Corallorhiza maculata occidentalis,80615,Corallorhiza maculata occidentalis,80615,80615,(Raf.) Raf.,(Lindl.) Ames,western spotted coralroot,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,Calypsoeae,Corallorhiza,maculata,,,occidentalis,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2013-05-17,Felix Erhard,http://www.inaturalist.org/observations/2604239,,80615,VAS,accepted,80615,Corallorhiza maculata occidentalis,Corallorhiza maculata occidentalis
Corallorhiza maculata var. ozettensis,Corallorhiza maculata ozettensis,452199,Corallorhiza maculata ozettensis,452199,452199,(Raf.) Raf.,Tischer,Ozette coralroot,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,Calypsoeae,Corallorhiza,maculata,,,ozettensis,native,S3 (2018),,new 2015,observed,,,,,,2015-06-05,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2563709,,452199,VAS,accepted,452199,Corallorhiza maculata ozettensis,Corallorhiza maculata ozettensis
Corallorhiza mertensiana,Corallorhiza mertensiana,49444,Corallorhiza mertensiana,49444,49444,Bong.,,Pacific coralroot,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,Calypsoeae,Corallorhiza,mertensiana,,,,native,S5 (2019),,new 2022,observed,,,,,,2022-06-07,Jenny Sterling & Andrew Simon,https://www.inaturalist.org/observations/120891212,,49444,VAS,accepted,49444,Corallorhiza mertensiana,Corallorhiza mertensiana
Corallorhiza striata var. striata,Corallorhiza striata striata,131215,Corallorhiza striata,50708,131215,Lindl.,,striped coralroot,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,Calypsoeae,Corallorhiza,striata,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2018-05-24,Andrew Simon & Quirin Hohendorf,https://www.inaturalist.org/observations/12817512,,50708,VAS,accepted,131215,Corallorhiza striata striata,Corallorhiza striata
Cornus nuttallii,Cornus nuttallii,76447,Cornus nuttallii,76447,76447,Audubon ex Torr. & A. Gray,,western flowering dogwood,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Cornales,,,Cornaceae,,,Cornus,nuttallii,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-05-24,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3295934,,76447,VAS,accepted,76447,Cornus nuttallii,Cornus nuttallii
Cornus sericea ssp. occidentalis,Cornus sericea occidentalis,53366,Cornus sericea occidentalis,53366,53366,L.,(Torr. & A.Gray) Fosberg,red-osier dogwood,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Cornales,,,Cornaceae,,,Cornus,sericea,,occidentalis,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2018-05-13,Andrew Simon,https://www.inaturalist.org/observations/15412701,Cornus stolonifera reported (synonym),53366,VAS,accepted,53366,Cornus sericea occidentalis,Cornus sericea occidentalis
Corylus cornuta ssp. californica,Corylus cornuta californica,53368,Corylus cornuta,53374,53368,Marshall,(A. DC.) A.E. Murray,beaked hazelnut,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Fagales,,,Betulaceae,,,Corylus,cornuta,,californica,,native,S5,,new 2016,observed,,,,,,2016-07-13,Andrew Simon,http://www.inaturalist.org/observations/3682332,,53374,VAS,accepted,53368,Corylus cornuta californica,Corylus cornuta
Cotoneaster coriaceus,Cotoneaster coriaceus,411074,Cotoneaster coriaceus,411074,411074,W.W.Sm.,,cream-flowered cotoneaster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,coriaceus,,,,exotic,unlisted,,new 2022,observed,2022-06-13,Frank Lomer,UBC,13039,,,,,reported as Cotoneaster lacteus,411074,VAS,unaccepted,411074,Cotoneaster coriaceus,Cotoneaster coriaceus
Cotoneaster franchetii,Cotoneaster franchetii,1319212,Cotoneaster franchetii,1319212,1319212,Bois,,Franchet's cotoneaster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,franchetii,,,,exotic,unlisted,,new 2022,observed,,,,,,2022-06-12,Andrew Simon,https://www.inaturalist.org/observations/121538520,,1319212,VAS,accepted,1319212,Cotoneaster franchetii,Cotoneaster franchetii
Cotoneaster horizontalis,Cotoneaster horizontalis,53771,Cotoneaster horizontalis,53771,53771,Decne.,,rock cotoneaster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,horizontalis,,,,exotic,unlisted,,new 2018,observed,,,,,,2018-06-04,Kevin Toomer,https://www.inaturalist.org/observations/13130562,,53771,VAS,accepted,53771,Cotoneaster horizontalis,Cotoneaster horizontalis
Cotoneaster simonsii,Cotoneaster simonsii,76461,Cotoneaster simonsii,76461,76461,Baker,,Himalayan cotoneaster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,simonsii,,,,exotic,unlisted,,confirmed,observed,1979-07-09,Harvey Janszen,RBCM,V097881,1949546798,2022-06-12,Andrew Simon,https://www.inaturalist.org/observations/121538499,HJ (2001) report of Cotoneaster dielsianusmisapplied to this material (AJ Wright notes these species are difficult to discriminate),76461,VAS,accepted,76461,Cotoneaster simonsii,Cotoneaster simonsii
Crassula connata,Crassula connata,57016,Crassula connata,57016,57016,(Ruiz & Pav.) A. Berger,,erect pigmyweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Crassulaceae,,,Crassula,connata,,,,native,S2S3 (2019),,reported,unobserved,1983-03-27,Harvey Janszen,RBCM,V129552,,,,,,57016,VAS,accepted,57016,Crassula connata,Crassula connata
Crataegus douglasii,Crataegus douglasii,76469,Crataegus douglasii,76469,76469,Lindl.,,black hawthorn,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Crataegus,douglasii,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-06-28,Andrew Simon,http://www.inaturalist.org/observations/3542848,,76469,VAS,accepted,76469,Crataegus douglasii,Crataegus douglasii
Crataegus monogyna,Crataegus monogyna,51147,Crataegus monogyna,51147,51147,Jacq.,,common hawthorn,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Crataegus,monogyna,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-06-24,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2564074,,51147,VAS,invalid,51147,Crataegus monogyna,Crataegus monogyna
Crepis capillaris,Crepis capillaris,54050,Crepis capillaris,54050,54050,(L.) Wallr.,,smooth hawksbeard,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,,Crepis,capillaris,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-06-24,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2564076,,54050,VAS,accepted,54050,Crepis capillaris,Crepis capillaris
Crocidium multicaule,Crocidium multicaule,57524,Crocidium multicaule,57524,57524,Hook.,,gold star,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Crocidium,multicaule,,,,native,S4,,confirmed,observed,1974-04-21,Wilfred B. Schofield,UBC,V156690,,2014-03-22,Ryan Batten,https://www.inaturalist.org/observations/9145124,,57524,VAS,accepted,57524,Crocidium multicaule,Crocidium multicaule
Crocus × stellaris,Crocus × stellaris,487126,Crocus × stellaris,487126,487126,Haw.,,dutch yellow crocus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Iridaceae,Crocoideae,Croceae,Crocus,,Crocus × stellaris,,,exotic,unlisted,,new 2020,observed,,,,,,2020-02-08,ssilverman,https://www.inaturalist.org/observations/38469122,,487126,VAS,accepted,487126,Crocus × stellaris,Crocus × stellaris
Crocus vernus,Crocus vernus,1371920,Crocus vernus,55769,1371920,(L.) Hill,,spring crocus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Iridaceae,Crocoideae,Croceae,Crocus,vernus,,,,exotic,unlisted,,new 2019,observed,,,,,,2019-03-16,grrrace,https://www.inaturalist.org/observations/21351316,,55769,VAS,accepted,1371920,Crocus vernus,Crocus vernus
Cuscuta pacifica var. pacifica,Cuscuta pacifica pacifica,80645,Cuscuta pacifica,76553,80645,Costea & M.A.R. Wright,,Pacific goldenthread,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Solanales,,,Convolvulaceae,,Cuscuteae,Cuscuta,pacifica,,,,native,S4,,new 2016,observed,,,,,,2010-08-14,T. Abe Lloyd,https://www.inaturalist.org/observations/37239710,,76553,VAS,accepted,80645,Cuscuta pacifica pacifica,Cuscuta pacifica
