"Order","Scientific name","Common name","Provincial status","BC list","National status","SARA status"
"true bugs (Hemiptera)","Euschistus sp.","Brown Stink Bugs","","","",""
"true bugs (Hemiptera)","Fieberiella florii","Privet Leafhopper","SNA","Exotic","",""
"true bugs (Hemiptera)","Gastrodes pacificus","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Gerris incognitus","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Gerris incurvatus","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Graphocephala atropunctata","Blue-green Sharpshooter","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Graphocephala fennahi","Rhododendron Leafhopper","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Halyomorpha halys","Brown Marmorated Stink Bug","SNA","Exotic","",""
"true bugs (Hemiptera)","Hesperocorixa vulgaris","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Heterotoma planicornis","Common Flathorn Plant Bug","SNA","Exotic","",""
"true bugs (Hemiptera)","Himacerus major","Grey Damsel Bug","SNA","Exotic","",""
"true bugs (Hemiptera)","Illinoia rubicola","Spot-winged Raspberry Aphid","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Issus coleoptratus","","","","",""
"true bugs (Hemiptera)","Japananus hyalinus","Japanese Maple Leafhopper","SNA","Exotic","",""
"true bugs (Hemiptera)","Kleidocerys resedae","Birch Catkin Bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Kleidocerys sp.","","","","",""
"true bugs (Hemiptera)","Leptoglossus occidentalis","Western Conifer Seed Bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Lethocerus americanus","American Giant Water Bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Limnoporus notabilis","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Limnoporus sp.","","","","",""
"true bugs (Hemiptera)","Lygaeus kalmii","Small Milkweed Bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Lygus sp.","Lygus Bugs","","","",""
"true bugs (Hemiptera)","Macrosiphum albifrons","Lupine Aphid","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Macrosiphum stanleyi","Spindly Elderberry Aphid","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Macrosiphum valerianae","Crimson Highland Aphid","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Megaloceroea recticornis","","SNA","Exotic","",""
"true bugs (Hemiptera)","Megalonotus sabulicola","Introduced Dirt-colored Seed Bug","SNA","Exotic","",""
"true bugs (Hemiptera)","Mesovelia mulsanti","Mulsant's Water Treader","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Mezira pacifica","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Neacoryphus bicrucis","White-crossed Seed Bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Neocoelidia lineata","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Neoneides muticus","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Neophilaenus lineatus","Lined Spittlebug","SNA","Exotic","",""
"true bugs (Hemiptera)","Nonlygus nubilatus","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Notonecta kirbyi","Kirby's Backswimmer","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Notonecta undulata","Grousewinged Backswimmer","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Oestlundiella flava","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Oncopsis californica","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Orientus ishidae","Japanese Leafhopper","","","",""
"true bugs (Hemiptera)","Orius insidiosus","Insidious flower bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Orius vicinus","","SNA","Exotic","",""
"true bugs (Hemiptera)","Philaenus spumarius","Meadow Spittlebug","SNA","Exotic","",""
"true bugs (Hemiptera)","Phytocoris tiliae","lime plant bug","SNA","Exotic","",""
"true bugs (Hemiptera)","Podisus serieventris","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Quilnus heidemanni","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Ranatra fusca","Brown Waterscorpion","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Rhyparochromus vulgaris","bright-spotted groundbug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Salda obscura","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Saldula pallipes","pale shore bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Scolopostethus diffidens","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Sigara lineata","","","","",""
"true bugs (Hemiptera)","Sinea diadema","Spined Assassin Bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Stenotus binotatus","Two-spotted Grass Bug","SNA","Exotic","",""
"true bugs (Hemiptera)","Tamalia coweni","Manzanita Leafgall Aphid","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Tetraphleps pilosipes","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Thecabius populimonilis","Bead-like Cottonwood Gall aphid","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Thyanta custator","Red-shouldered Stink Bug","","","",""
"true bugs (Hemiptera)","Trigonotylus caelestialium","Rice Leaf Bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Uroleucon sonchi","Sow-thistle Aphid","SNA","Exotic","",""
"true bugs (Hemiptera)","Uroleucon sp.","Large Daisy Aphids","","","",""
"true bugs (Hemiptera)","Zelus tetracanthus","Four-spurred Assassin Bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Zicrona caerulea","Blue Shield Bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Zygina flammigera","","SNA","Exotic","",""
"woodlice and allies (Isopoda)","Armadillidium vulgare","Common Pill Woodlouse","","","",""
"woodlice and allies (Isopoda)","Cirolana harfordi","Harford's Isopod","","","",""
"woodlice and allies (Isopoda)","Holophryxus alaskensis","","","","",""
"woodlice and allies (Isopoda)","Ligia occidentalis","Western Sea Slater","","","",""
"woodlice and allies (Isopoda)","Ligidium gracile","Western Rockslater","","","",""
"woodlice and allies (Isopoda)","Oniscus asellus","Common Shiny Woodlouse","","","",""
"woodlice and allies (Isopoda)","Pentidotea stenops","Seaweed Isopod","","","",""
"woodlice and allies (Isopoda)","Philoscia muscorum","Common Striped Woodlouse","","","",""
"woodlice and allies (Isopoda)","Porcellio scaber","Common Rough Woodlouse","","","",""
"woodlice and allies (Isopoda)","Rocinela propodialis","","","","",""
"flat-backed millipedes (Polydesmida)","Harpaphe haydeniana","Yellow-spotted Millipede","SU (2020)","Not Reviewed","",""
"flat-backed millipedes (Polydesmida)","Nearctodesmus insulanus","","S1 (2020)","Not Reviewed","",""
"flat-backed millipedes (Polydesmida)","Oxidus gracilis","Greenhouse Millipede","SNA (2020)","Exotic","",""
"flat-backed millipedes (Polydesmida)","Pseudopolydesmus serratus","Common Pink Flat-back","","","",""
"flat-backed millipedes (Polydesmida)","Scytonotus sp.","","","","",""
"millipedes (Chordeumatida)","Rhiscosomides meineri","","SU (2020)","Not Reviewed","",""
"millipedes (Julida)","Orinisobates expressus","","SU (2020)","Not Reviewed","",""
"Unassigned","Gyraulus parvus","Ash Gyro","S5 (2024)","Yellow","",""
"Unassigned","Helisoma sp.","","","","",""
"Unassigned","Ladislavella elodes","Marsh Pond Snail","S5 (2024)","Yellow","",""
"Unassigned","Lymnaea stagnalis","","S5 (2024)","Yellow","",""
"Unassigned","Physella acuta","Acute Bladder Snail","SU (2024)","Unknown","",""
"Unassigned","Physella gyrina","Tadpole Physa","S5 (2024)","Yellow","",""
"Unassigned","Planorbella subcrenata","Rough Ramshorn","S5 (2024)","Yellow","",""
"Unassigned","Planorbella trivolvis","Marsh Ramshorn","S5 (2025)","Yellow","",""
"air-breathing snails (Ellobiida)","Carychium occidentale","Western Thorn","S3 (2025)","Blue","",""
"land snails and slugs (Stylommatophora)","Allogona townsendiana","Oregon forestsnail","S2 (2015)","Red","Endangered (2013)","S1: Endangered (2005)"
"land snails and slugs (Stylommatophora)","Ancotrema sportella","Beaded Lancetooth Snail","S5 (2025)","Yellow","",""
"land snails and slugs (Stylommatophora)","Ariolimax columbianus","Pacific Banana Slug","S5 (2025)","Yellow","",""
"land snails and slugs (Stylommatophora)","Arion ater","Black Slug","","Exotic","",""
"land snails and slugs (Stylommatophora)","Arion ater rufus","Red Slug","","Exotic","",""
"land snails and slugs (Stylommatophora)","Arion subfuscus","Western Dusky Slug","SNA (2025)","Exotic","",""
"land snails and slugs (Stylommatophora)","Cepaea hortensis","White-lipped Snail","","Exotic","",""
"land snails and slugs (Stylommatophora)","Cepaea nemoralis","Brown-lipped Snail","SNA (2025)","Exotic","",""
"land snails and slugs (Stylommatophora)","Cochlicopa lubrica","Glossy Pillar","S5 (2025)","Yellow","",""
"land snails and slugs (Stylommatophora)","Columella edentula","Toothless Chrysalis-snail","S5? (2025)","Yellow","",""
"land snails and slugs (Stylommatophora)","Cryptomastix germana","Pygmy Oregonian","S3S5 (2025)","Blue","",""
"land snails and slugs (Stylommatophora)","Deroceras reticulatum","Milky Slug","SNA (2025)","Exotic","",""
"land snails and slugs (Stylommatophora)","Euconulus fulvus","Tawny Glass-snail","S5 (2025)","Yellow","",""
"land snails and slugs (Stylommatophora)","Gonyodiscus rotundatus","Rounded Snail","SNA (2025)","Exotic","",""
"land snails and slugs (Stylommatophora)","Haplotrema vancouverense","Robust Lancetooth Snail","S5 (2025)","Yellow","",""
"land snails and slugs (Stylommatophora)","Limax maximus","Leopard Slug","SNA (2025)","Exotic","",""
"land snails and slugs (Stylommatophora)","Monadenia fidelis","Pacific Sideband","S4 (2025)","Yellow","",""
"land snails and slugs (Stylommatophora)","Oxychilus alliarius","Garlic Snail","SNA (2025)","Exotic","",""
"land snails and slugs (Stylommatophora)","Oxychilus draparnaudi","Draparnaud's Glass Snail","SNA (2025)","Exotic","",""
"land snails and slugs (Stylommatophora)","Prophysaon andersonii","Reticulate Taildropper","S5 (2025)","Yellow","",""
"land snails and slugs (Stylommatophora)","Prophysaon foliolatum","Yellow-bordered Taildropper","S5 (2025)","Yellow","",""
"land snails and slugs (Stylommatophora)","Punctum randolphii","Conical Spot","S5 (2025)","Yellow","",""
"land snails and slugs (Stylommatophora)","Vertigo rowellii","","S3S4 (2024)","Blue","Special Concern (2022)","S1: Special Concern (2012)"
"land snails and slugs (Stylommatophora)","Vespericola columbianus","Northwest Hesperian","S5 (2025)","Yellow","",""
"land snails and slugs (Stylommatophora)","Zonitoides arboreus","Quick Gloss Snail","S5 (2025)","Yellow","",""
"top snails and allies (Trochida)","Margarites inflatulus","","","","",""
"globular springtails (Symphypleona)","Bourletiella hortensis","Garden Springtail","SU (2019)","Not Reviewed","",""
"globular springtails (Symphypleona)","Dicyrtomina ornata","","","","",""
"globular springtails (Symphypleona)","Dicyrtomina saundersi","","","","",""
"globular springtails (Symphypleona)","Pseudobourletiella spinata","","SU (2019)","Not Reviewed","",""
"globular springtails (Symphypleona)","Ptenothrix beta","","","","",""
"globular springtails (Symphypleona)","Ptenothrix delongi","","","","",""
"globular springtails (Symphypleona)","Ptenothrix maculosa","","SU (2019)","Not Reviewed","",""
"globular springtails (Symphypleona)","Sminthurinus quadrimaculatus","","SU (2019)","Not Reviewed","",""
"springtails (Entomobryomorpha)","Agrenia agilis","","SU (2019)","Not Reviewed","",""
"springtails (Entomobryomorpha)","Entomobrya intermedia","","","","",""
"springtails (Entomobryomorpha)","Entomobrya katzi","","","","",""
"springtails (Entomobryomorpha)","Entomobrya nivalis","Cosmopolitan Springtail","SU (2019)","Not Reviewed","",""
"springtails (Entomobryomorpha)","Entomobrya triangularis","","SU (2019)","Not Reviewed","",""
"springtails (Entomobryomorpha)","Isotoma viridis","","SU (2019)","Not Reviewed","",""
"springtails (Entomobryomorpha)","Orchesella cincta","Belted Springtail","SNA (2025)","Not Reviewed","",""
"springtails (Entomobryomorpha)","Orchesella sp.","","","","",""
"springtails (Entomobryomorpha)","Orchesella villosa","Shaggy Springtail","SNA (2025)","Exotic","",""
"springtails (Entomobryomorpha)","Tomocerus minor","","SU (2019)","Not Reviewed","",""
"springtails (Entomobryomorpha)","Tomocerus sp.","","","","",""
"springtails (Poduromorpha)","Hymenaphorura cocklei","Golden Snow Flea","SU (2019)","Not Reviewed","",""
"springtails (Poduromorpha)","Hypogastrura nivicola","","SU (2019)","Not Reviewed","",""
"springtails (Poduromorpha)","Lophognathella choreutes","","SU (2019)","Not Reviewed","",""
"springtails (Poduromorpha)","Neanura muscorum","Moss Springtail","SU (2019)","Not Reviewed","",""
